,EnglishCityName,EnglishTransCityName,city,lat,lng
54,Dzhankoy,Dzhankoi,Dzhankoy,45.7086,34.3933
55,Energodar,Energodar,,47.2956,34.3921
56,Fastiv,Fastiv,Fastiv,50.0747,29.9181
57,Feodosia,Feodosiia ,,45.256,35.2245
58,Hadiach,Gadiach,,50.22,34
59,Haisyn,Gaisin,Haisyn,48.8094,29.3906
60,Henichesk,Genichesk,Henichesk,46.1769,34.7989
61,Hlukhiv,Glukhiv,Hlukhiv,51.6765,33.9078
62,Golubivka,Golubivka,,48.9833,27.6666
63,Horishni Plavni,Gorishni Plavni,Horishni Plavni,49.0107,33.6562
64,Gorlivka,Gorlivka,,48.18,38.3
65,Irpin,Irpin,Irpin,50.5167,30.25
66,Ivano-Frankivsk,Ivano-Frankivsk,Ivano-Frankivsk,48.9228,24.7106
67,Izium,Izium,Izium,49.2238,37.2915
68,Izmail,Izmayil,Izmail,45.35,28.8333
69,Yahotyn,Iagotin,Yahotyn,50.2569,31.7817
70,Yalta,Ialta,Yalta,44.4994,34.1553
71,Yalta,Ialta,Yalta,46.9667,37.2667
72,Yasynuvata,Iasinuvata,Yasynuvata,48.1167,37.8333
73,Yenakiieve,Ienakiieve,Yenakiieve,48.2311,38.2053
74,Yevpatoria,Ievpatoriia ,Yevpatoria,45.2,33.3583
75,Yuzhne,Iuzhne,Yuzhne,46.6222,31.1008
76,Yuzhnoukrainsk,Iuzhnoukrayinsk,,47.4918,31.103
77,Kakhovka,Kakhovka,Kakhovka,46.8,33.4667
78,Kadiyivka,Kadiyivka,,48.3405,38.3931
79,Kalush,Kalush,Kalush,49.0442,24.3597
80,Kalinivka,Kalinivka,,49.265,28.3123
81,Kamianets-Podilskyi,Kamianets-Podilskii,Kamianets-Podilskyi,48.6806,26.5806
82,Kamianske,Kamianske,Kamianske,48.5076,34.6132
83,Kamianske,Kamianske,Kamianske,48.2797,22.9386
84,Kaniv,Kaniv,Kaniv,49.7447,31.4558
85,Kerch,Kerch ,,45.2143,36.2816
86,Kiliya,Kiliia,Kiliya,45.4503,29.2667
87,Kolomyia,Kolomiia,Kolomyia,48.5167,25.0333
88,Konotop,Konotop,Konotop,51.2369,33.2027
89,Korosten,Korosten,Korosten,50.95,28.65
90,Korostyshiv,Korostishiv,Korostyshiv,50.3186,29.0592
91,Kostiantynivka,Kostiantinivka,Kostiantynivka,48.5333,37.7167
92,Kostopil,Kostopil,Kostopil,50.8833,26.4431
93,Kovel,Kovel,Kovel,51.2167,24.7167
94,Koziatyn,Koziatin,Koziatyn,49.7167,28.8333
